Company name,City,PostalCode,FirstName,LastName,CountryIdentifier,Contact Phone
Ana Trujillo Emparedados y helados,México D.F.,05021,Ana,Trujillo,12,(5) 555-3932
Antonio Moreno Taquería,México D.F.,05023,Antonio,Moreno,12,(171) 555-7788
Bólido Comidas preparadas,Madrid,28023,Martín,Sommer,16,(91) 555 22 82
Bon app',Marseille,13008,Laurence,Lebihan,1,91.24.45.40
Du monde entier,Nantes,44000,Janine,Labrune,8,40.67.88.88
Folk och fä HB,Bräcke,S-844 67,Maria,Larsson,17,0695-34 67 21
Ottilies Käseladen,Köln,50739,Henriette,Pfalzheim,9,0221-0644327
Paris spécialités,Paris,75012,Marie,Bertrand,8,(1) 42.34.22.66
Santé Gourmet,Stavern,4110,Jonas,Bergulfsen,13,07-98 92 35
Simons bistro,Kobenhavn,1734,Jytte,Petersen,6,31 12 34 56
Tortuga Restaurante,México D.F.,05033,Miguel,Angel Paolino,12,(5) 555-2933
Wolski  Zajazd,Warszawa,01-012,Zbyszek,Piestrzeniewicz,14,(26) 642-7012
Let's Stop N Shop,San Francisco,94117,Jaime,Yorres,20,(415) 555-5938
GROSELLA-Restaurante,Caracas,1081,Manuel,Pereira,21,(2) 283-2951
LINO-Delicateses,I. de Margarita,4980,Felipe,Izquierdo,21,(8) 34-56-12
White Clover Markets,Seattle,98128,Karl,Jablonski,20,(206) 555-8257
